date,keyword,interest
2017-08-13,bebes,33
2017-08-20,bebes,35
2017-08-27,bebes,35
2017-09-03,bebes,38
2017-09-10,bebes,35
2017-09-17,bebes,36
2017-09-24,bebes,35
2017-10-01,bebes,35
2017-10-08,bebes,34
2017-10-15,bebes,31
2017-10-22,bebes,34
2017-10-29,bebes,36
2017-11-05,bebes,35
2017-11-12,bebes,33
2017-11-19,bebes,33
2017-11-26,bebes,35
2017-12-03,bebes,34
2017-12-10,bebes,32
2017-12-17,bebes,33
2017-12-24,bebes,33
2017-12-31,bebes,35
2018-01-07,bebes,31
2018-01-14,bebes,36
2018-01-21,bebes,33
2018-01-28,bebes,34
2018-02-04,bebes,34
2018-02-11,bebes,37
2018-02-18,bebes,33
2018-02-25,bebes,32
2018-03-04,bebes,30
2018-03-11,bebes,32
2018-03-18,bebes,31
2018-03-25,bebes,33
2018-04-01,bebes,31
2018-04-08,bebes,31
2018-04-15,bebes,31
2018-04-22,bebes,31
2018-04-29,bebes,35
2018-05-06,bebes,31
2018-05-13,bebes,32
2018-05-20,bebes,31
2018-05-27,bebes,33
2018-06-03,bebes,30
2018-06-10,bebes,28
2018-06-17,bebes,30
2018-06-24,bebes,31
2018-07-01,bebes,32
2018-07-08,bebes,31
2018-07-15,bebes,33
2018-07-22,bebes,32
2018-07-29,bebes,32
2018-08-05,bebes,29
2018-08-12,bebes,30
2018-08-19,bebes,29
2018-08-26,bebes,29
2018-09-02,bebes,29
2018-09-09,bebes,30
2018-09-16,bebes,29
2018-09-23,bebes,29
2018-09-30,bebes,26
2018-10-07,bebes,26
2018-10-14,bebes,30
2018-10-21,bebes,28
2018-10-28,bebes,27
2018-11-04,bebes,29
2018-11-11,bebes,29
2018-11-18,bebes,27
2018-11-25,bebes,27
2018-12-02,bebes,28
2018-12-09,bebes,28
2018-12-16,bebes,29
2018-12-23,bebes,29
2018-12-30,bebes,32
2015-12-27,utilidades domesticas,1
2016-01-03,utilidades domesticas,1
2016-01-10,utilidades domesticas,1
2016-01-17,utilidades domesticas,2
2016-01-24,utilidades domesticas,1
2016-01-31,utilidades domesticas,1
2016-02-07,utilidades domesticas,1
2016-02-14,utilidades domesticas,1
2016-02-21,utilidades domesticas,1
2016-02-28,utilidades domesticas,1
2016-03-06,utilidades domesticas,1
2016-03-13,utilidades domesticas,1
2016-03-20,utilidades domesticas,1
2016-03-27,utilidades domesticas,2
2016-04-03,utilidades domesticas,1
2016-04-10,utilidades domesticas,1
2016-04-17,utilidades domesticas,2
2016-04-24,utilidades domesticas,1
2016-05-01,utilidades domesticas,1
2016-05-08,utilidades domesticas,1
2016-05-15,utilidades domesticas,1
2016-05-22,utilidades domesticas,1
2016-05-29,utilidades domesticas,1
2016-06-05,utilidades domesticas,1
2016-06-12,utilidades domesticas,1
2016-06-19,utilidades domesticas,1
2016-06-26,utilidades domesticas,1
2016-07-03,utilidades domesticas,1
2016-07-10,utilidades domesticas,1
2016-07-17,utilidades domesticas,1
2016-07-24,utilidades domesticas,1
2016-07-31,utilidades domesticas,1
2016-08-07,utilidades domesticas,1
2016-08-14,utilidades domesticas,1
2016-08-21,utilidades domesticas,1
2016-08-28,utilidades domesticas,1
2016-09-04,utilidades domesticas,2
2016-09-11,utilidades domesticas,1
2016-09-18,utilidades domesticas,1
2016-09-25,utilidades domesticas,1
2016-10-02,utilidades domesticas,1
2016-10-09,utilidades domesticas,1
2016-10-16,utilidades domesticas,1
2016-10-23,utilidades domesticas,1
2016-10-30,utilidades domesticas,1
2016-11-06,utilidades domesticas,1
2016-11-13,utilidades domesticas,1
2016-11-20,utilidades domesticas,1
2016-11-27,utilidades domesticas,1
2016-12-04,utilidades domesticas,1
2016-12-11,utilidades domesticas,1
2016-12-18,utilidades domesticas,1
2016-12-25,utilidades domesticas,1
2017-01-01,utilidades domesticas,1
2017-01-08,utilidades domesticas,1
2017-01-15,utilidades domesticas,1
2017-01-22,utilidades domesticas,1
2017-01-29,utilidades domesticas,1
2017-02-05,utilidades domesticas,1
2017-02-12,utilidades domesticas,1
2017-02-19,utilidades domesticas,1
2017-02-26,utilidades domesticas,1
2017-03-05,utilidades domesticas,1
2017-03-12,utilidades domesticas,1
2017-03-19,utilidades domesticas,1
2017-03-26,utilidades domesticas,1
2017-04-02,utilidades domesticas,1
2017-04-09,utilidades domesticas,1
2017-04-16,utilidades domesticas,2
2017-04-23,utilidades domesticas,1
2017-04-30,utilidades domesticas,1
2017-05-07,utilidades domesticas,2
2017-05-14,utilidades domesticas,1
2017-05-21,utilidades domesticas,1
2017-05-28,utilidades domesticas,2
2017-06-04,utilidades domesticas,1
2017-06-11,utilidades domesticas,1
2017-06-18,utilidades domesticas,1
2017-06-25,utilidades domesticas,1
2017-07-02,utilidades domesticas,1
2017-07-09,utilidades domesticas,1
2017-07-16,utilidades domesticas,1
2017-07-23,utilidades domesticas,1
2017-07-30,utilidades domesticas,1
2017-08-06,utilidades domesticas,1
2017-08-13,utilidades domesticas,1
2017-08-20,utilidades domesticas,1
2017-08-27,utilidades domesticas,1
2017-09-03,utilidades domesticas,1
2017-09-10,utilidades domesticas,1
2017-09-17,utilidades domesticas,1
2017-09-24,utilidades domesticas,1
2017-10-01,utilidades domesticas,1
2017-10-08,utilidades domesticas,1
2017-10-15,utilidades domesticas,1
2017-10-22,utilidades domesticas,1
2017-10-29,utilidades domesticas,1
2017-11-05,utilidades domesticas,1
2017-11-12,utilidades domesticas,1
2017-11-19,utilidades domesticas,1
2017-11-26,utilidades domesticas,2
2017-12-03,utilidades domesticas,1
2017-12-10,utilidades domesticas,1
2017-12-17,utilidades domesticas,1
2017-12-24,utilidades domesticas,1
2017-12-31,utilidades domesticas,1
2018-01-07,utilidades domesticas,1
2018-01-14,utilidades domesticas,1
2018-01-21,utilidades domesticas,1
2018-01-28,utilidades domesticas,1
2018-02-04,utilidades domesticas,1
2018-02-11,utilidades domesticas,1
2018-02-18,utilidades domesticas,1
2018-02-25,utilidades domesticas,1
2018-03-04,utilidades domesticas,1
2018-03-11,utilidades domesticas,1
2018-03-18,utilidades domesticas,1
2018-03-25,utilidades domesticas,1
2018-04-01,utilidades domesticas,1
2018-04-08,utilidades domesticas,1
2018-04-15,utilidades domesticas,1
2018-04-22,utilidades domesticas,1
2018-04-29,utilidades domesticas,1
2018-05-06,utilidades domesticas,1
2018-05-13,utilidades domesticas,1
2018-05-20,utilidades domesticas,1
2018-05-27,utilidades domesticas,1
2018-06-03,utilidades domesticas,1
2018-06-10,utilidades domesticas,1
2018-06-17,utilidades domesticas,1
2018-06-24,utilidades domesticas,1
2018-07-01,utilidades domesticas,1
2018-07-08,utilidades domesticas,1
2018-07-15,utilidades domesticas,1
2018-07-22,utilidades domesticas,1
2018-07-29,utilidades domesticas,1
2018-08-05,utilidades domesticas,1
2018-08-12,utilidades domesticas,1
2018-08-19,utilidades domesticas,1
2018-08-26,utilidades domesticas,1
2018-09-02,utilidades domesticas,1
2018-09-09,utilidades domesticas,1
2018-09-16,utilidades domesticas,1
2018-09-23,utilidades domesticas,1
2018-09-30,utilidades domesticas,1
2018-10-07,utilidades domesticas,1
2018-10-14,utilidades domesticas,1
2018-10-21,utilidades domesticas,1
2018-10-28,utilidades domesticas,1
2018-11-04,utilidades domesticas,1
2018-11-11,utilidades domesticas,1
2018-11-18,utilidades domesticas,1
2018-11-25,utilidades domesticas,1
2018-12-02,utilidades domesticas,1
2018-12-09,utilidades domesticas,1
2018-12-16,utilidades domesticas,1
2018-12-23,utilidades domesticas,1
2018-12-30,utilidades domesticas,1
2015-12-27,instrumentos musicais,7
2016-01-03,instrumentos musicais,6
2016-01-10,instrumentos musicais,6
2016-01-17,instrumentos musicais,6
2016-01-24,instrumentos musicais,6
2016-01-31,instrumentos musicais,6
2016-02-07,instrumentos musicais,6
2016-02-14,instrumentos musicais,6
2016-02-21,instrumentos musicais,7
2016-02-28,instrumentos musicais,7
2016-03-06,instrumentos musicais,6
2016-03-13,instrumentos musicais,6
2016-03-20,instrumentos musicais,6
2016-03-27,instrumentos musicais,7
2016-04-03,instrumentos musicais,7
2016-04-10,instrumentos musicais,7
2016-04-17,instrumentos musicais,7
2016-04-24,instrumentos musicais,7
2016-05-01,instrumentos musicais,7
2016-05-08,instrumentos musicais,6
2016-05-15,instrumentos musicais,7
2016-05-22,instrumentos musicais,6
2016-05-29,instrumentos musicais,7
2016-06-05,instrumentos musicais,7
2016-06-12,instrumentos musicais,7
2016-06-19,instrumentos musicais,6
2016-06-26,instrumentos musicais,6
2016-07-03,instrumentos musicais,6
2016-07-10,instrumentos musicais,6
2016-07-17,instrumentos musicais,6
2016-07-24,instrumentos musicais,6
2016-07-31,instrumentos musicais,6
2016-08-07,instrumentos musicais,6
2016-08-14,instrumentos musicais,6
2016-08-21,instrumentos musicais,7
2016-08-28,instrumentos musicais,7
2016-09-04,instrumentos musicais,6
2016-09-11,instrumentos musicais,7
2016-09-18,instrumentos musicais,6
2016-09-25,instrumentos musicais,6
2016-10-02,instrumentos musicais,6
2016-10-09,instrumentos musicais,6
2016-10-16,instrumentos musicais,6
2016-10-23,instrumentos musicais,6
2016-10-30,instrumentos musicais,6
2016-11-06,instrumentos musicais,7
2016-11-13,instrumentos musicais,7
2016-11-20,instrumentos musicais,8
2016-11-27,instrumentos musicais,6
2016-12-04,instrumentos musicais,6
2016-12-11,instrumentos musicais,6
2016-12-18,instrumentos musicais,7
2016-12-25,instrumentos musicais,5
2017-01-01,instrumentos musicais,5
2017-01-08,instrumentos musicais,6
2017-01-15,instrumentos musicais,5
2017-01-22,instrumentos musicais,6
2017-01-29,instrumentos musicais,6
2017-02-05,instrumentos musicais,6
2017-02-12,instrumentos musicais,6
2017-02-19,instrumentos musicais,6
2017-02-26,instrumentos musicais,6
2017-03-05,instrumentos musicais,7
2017-03-12,instrumentos musicais,7
2017-03-19,instrumentos musicais,7
2017-03-26,instrumentos musicais,7
2017-04-02,instrumentos musicais,6
2017-04-09,instrumentos musicais,6
2017-04-16,instrumentos musicais,7
2017-04-23,instrumentos musicais,7
2017-04-30,instrumentos musicais,6
2017-05-07,instrumentos musicais,6
2017-05-14,instrumentos musicais,6
2017-05-21,instrumentos musicais,7
2017-05-28,instrumentos musicais,7
2017-06-04,instrumentos musicais,7
2017-06-11,instrumentos musicais,6
2017-06-18,instrumentos musicais,7
2017-06-25,instrumentos musicais,6
2017-07-02,instrumentos musicais,6
2017-07-09,instrumentos musicais,6
2017-07-16,instrumentos musicais,5
2017-07-23,instrumentos musicais,6
2017-07-30,instrumentos musicais,6
2017-08-06,instrumentos musicais,7
2017-08-13,instrumentos musicais,7
2017-08-20,instrumentos musicais,7
