date,keyword,interest
2016-02-07,mercado livre,57
2016-02-14,mercado livre,57
2016-02-21,mercado livre,57
2016-02-28,mercado livre,54
2016-03-06,mercado livre,57
2016-03-13,mercado livre,57
2016-03-20,mercado livre,56
2016-03-27,mercado livre,59
2016-04-03,mercado livre,57
2016-04-10,mercado livre,54
2016-04-17,mercado livre,55
2016-04-24,mercado livre,54
2016-05-01,mercado livre,61
2016-05-08,mercado livre,59
2016-05-15,mercado livre,60
2016-05-22,mercado livre,61
2016-05-29,mercado livre,61
2016-06-05,mercado livre,60
2016-06-12,mercado livre,60
2016-06-19,mercado livre,59
2016-06-26,mercado livre,60
2016-07-03,mercado livre,64
2016-07-10,mercado livre,63
2016-07-17,mercado livre,66
2016-07-24,mercado livre,65
2016-07-31,mercado livre,63
2016-08-07,mercado livre,60
2016-08-14,mercado livre,59
2016-08-21,mercado livre,62
2016-08-28,mercado livre,61
2016-09-04,mercado livre,63
2016-09-11,mercado livre,62
2016-09-18,mercado livre,61
2016-09-25,mercado livre,62
2016-10-02,mercado livre,59
2016-10-09,mercado livre,65
2016-10-16,mercado livre,64
2016-10-23,mercado livre,60
2016-10-30,mercado livre,62
2016-11-06,mercado livre,63
2016-11-13,mercado livre,68
2016-11-20,mercado livre,76
2016-11-27,mercado livre,72
2016-12-04,mercado livre,72
2016-12-11,mercado livre,67
2016-12-18,mercado livre,64
2016-12-25,mercado livre,64
2017-01-01,mercado livre,63
2017-01-08,mercado livre,69
2017-01-15,mercado livre,66
2017-01-22,mercado livre,68
2017-01-29,mercado livre,69
2017-02-05,mercado livre,65
2017-02-12,mercado livre,64
2017-02-19,mercado livre,64
2017-02-26,mercado livre,70
2017-03-05,mercado livre,66
2017-03-12,mercado livre,70
2017-03-19,mercado livre,72
2017-03-26,mercado livre,70
2017-04-02,mercado livre,68
2017-04-09,mercado livre,62
2017-04-16,mercado livre,66
2017-04-23,mercado livre,72
2017-04-30,mercado livre,74
2017-05-07,mercado livre,73
2017-05-14,mercado livre,66
2017-05-21,mercado livre,68
2017-05-28,mercado livre,73
2017-06-04,mercado livre,72
2017-06-11,mercado livre,72
2017-06-18,mercado livre,73
2017-06-25,mercado livre,75
2017-07-02,mercado livre,78
2017-07-09,mercado livre,76
2017-07-16,mercado livre,80
2017-07-23,mercado livre,80
2017-07-30,mercado livre,80
2017-08-06,mercado livre,85
2017-08-13,mercado livre,82
2017-08-20,mercado livre,80
2017-08-27,mercado livre,81
2017-09-03,mercado livre,81
2017-09-10,mercado livre,83
2017-09-17,mercado livre,80
2017-09-24,mercado livre,79
2017-10-01,mercado livre,81
2017-10-08,mercado livre,85
2017-10-15,mercado livre,84
2017-10-22,mercado livre,81
2017-10-29,mercado livre,80
2017-11-05,mercado livre,82
2017-11-12,mercado livre,86
2017-11-19,mercado livre,100
2017-11-26,mercado livre,90
2017-12-03,mercado livre,93
2017-12-10,mercado livre,91
2017-12-17,mercado livre,88
2017-12-24,mercado livre,86
2017-12-31,mercado livre,88
2018-01-07,mercado livre,88
2018-01-14,mercado livre,93
2018-01-21,mercado livre,85
2018-01-28,mercado livre,90
2018-02-04,mercado livre,84
2018-02-11,mercado livre,86
2018-02-18,mercado livre,83
2018-02-25,mercado livre,83
2018-03-04,mercado livre,83
2018-03-11,mercado livre,84
2018-03-18,mercado livre,76
2018-03-25,mercado livre,74
2018-04-01,mercado livre,72
2018-04-08,mercado livre,72
2018-04-15,mercado livre,76
2018-04-22,mercado livre,81
2018-04-29,mercado livre,76
2018-05-06,mercado livre,75
2018-05-13,mercado livre,75
2018-05-20,mercado livre,66
2018-05-27,mercado livre,63
2018-06-03,mercado livre,70
2018-06-10,mercado livre,69
2018-06-17,mercado livre,67
2018-06-24,mercado livre,68
2018-07-01,mercado livre,71
2018-07-08,mercado livre,69
2018-07-15,mercado livre,65
2018-07-22,mercado livre,70
2018-07-29,mercado livre,67
2018-08-05,mercado livre,71
2018-08-12,mercado livre,67
2018-08-19,mercado livre,66
2018-08-26,mercado livre,72
2018-09-02,mercado livre,64
2018-09-09,mercado livre,65
2018-09-16,mercado livre,64
2018-09-23,mercado livre,64
2018-09-30,mercado livre,60
2018-10-07,mercado livre,52
2018-10-14,mercado livre,63
2018-10-21,mercado livre,57
2018-10-28,mercado livre,58
2018-11-04,mercado livre,63
2018-11-11,mercado livre,66
2018-11-18,mercado livre,79
2018-11-25,mercado livre,70
2018-12-02,mercado livre,75
2018-12-09,mercado livre,71
2018-12-16,mercado livre,65
2018-12-23,mercado livre,59
2018-12-30,mercado livre,64
2015-12-27,comprar alimentos,0
2016-01-03,comprar alimentos,0
2016-01-10,comprar alimentos,0
2016-01-17,comprar alimentos,0
2016-01-24,comprar alimentos,0
2016-01-31,comprar alimentos,0
2016-02-07,comprar alimentos,0
2016-02-14,comprar alimentos,0
2016-02-21,comprar alimentos,0
2016-02-28,comprar alimentos,0
2016-03-06,comprar alimentos,0
2016-03-13,comprar alimentos,0
2016-03-20,comprar alimentos,0
2016-03-27,comprar alimentos,0
2016-04-03,comprar alimentos,0
2016-04-10,comprar alimentos,0
2016-04-17,comprar alimentos,0
2016-04-24,comprar alimentos,0
2016-05-01,comprar alimentos,0
2016-05-08,comprar alimentos,0
2016-05-15,comprar alimentos,0
2016-05-22,comprar alimentos,0
2016-05-29,comprar alimentos,0
2016-06-05,comprar alimentos,0
2016-06-12,comprar alimentos,0
2016-06-19,comprar alimentos,0
2016-06-26,comprar alimentos,0
2016-07-03,comprar alimentos,0
2016-07-10,comprar alimentos,0
2016-07-17,comprar alimentos,0
2016-07-24,comprar alimentos,0
2016-07-31,comprar alimentos,0
2016-08-07,comprar alimentos,0
2016-08-14,comprar alimentos,0
2016-08-21,comprar alimentos,0
2016-08-28,comprar alimentos,0
2016-09-04,comprar alimentos,0
2016-09-11,comprar alimentos,0
2016-09-18,comprar alimentos,0
2016-09-25,comprar alimentos,0
2016-10-02,comprar alimentos,0
2016-10-09,comprar alimentos,0
2016-10-16,comprar alimentos,0
2016-10-23,comprar alimentos,0
2016-10-30,comprar alimentos,0
2016-11-06,comprar alimentos,0
2016-11-13,comprar alimentos,0
2016-11-20,comprar alimentos,0
2016-11-27,comprar alimentos,0
2016-12-04,comprar alimentos,0
2016-12-11,comprar alimentos,0
2016-12-18,comprar alimentos,0
2016-12-25,comprar alimentos,0
2017-01-01,comprar alimentos,0
2017-01-08,comprar alimentos,0
2017-01-15,comprar alimentos,0
2017-01-22,comprar alimentos,0
2017-01-29,comprar alimentos,0
2017-02-05,comprar alimentos,0
2017-02-12,comprar alimentos,0
2017-02-19,comprar alimentos,0
2017-02-26,comprar alimentos,0
2017-03-05,comprar alimentos,0
2017-03-12,comprar alimentos,0
2017-03-19,comprar alimentos,0
2017-03-26,comprar alimentos,0
2017-04-02,comprar alimentos,0
2017-04-09,comprar alimentos,0
2017-04-16,comprar alimentos,0
2017-04-23,comprar alimentos,0
2017-04-30,comprar alimentos,0
2017-05-07,comprar alimentos,0
2017-05-14,comprar alimentos,0
2017-05-21,comprar alimentos,0
2017-05-28,comprar alimentos,0
2017-06-04,comprar alimentos,0
2017-06-11,comprar alimentos,0
2017-06-18,comprar alimentos,0
2017-06-25,comprar alimentos,0
2017-07-02,comprar alimentos,0
2017-07-09,comprar alimentos,0
2017-07-16,comprar alimentos,0
2017-07-23,comprar alimentos,0
2017-07-30,comprar alimentos,0
2017-08-06,comprar alimentos,0
2017-08-13,comprar alimentos,0
2017-08-20,comprar alimentos,0
2017-08-27,comprar alimentos,0
2017-09-03,comprar alimentos,0
2017-09-10,comprar alimentos,0
2017-09-17,comprar alimentos,0
2017-09-24,comprar alimentos,0
2017-10-01,comprar alimentos,0
2017-10-08,comprar alimentos,0
2017-10-15,comprar alimentos,0
2017-10-22,comprar alimentos,0
2017-10-29,comprar alimentos,0
2017-11-05,comprar alimentos,0
2017-11-12,comprar alimentos,0
2017-11-19,comprar alimentos,0
2017-11-26,comprar alimentos,0
2017-12-03,comprar alimentos,0
2017-12-10,comprar alimentos,0
2017-12-17,comprar alimentos,0
2017-12-24,comprar alimentos,0
2017-12-31,comprar alimentos,0
2018-01-07,comprar alimentos,0
2018-01-14,comprar alimentos,0
2018-01-21,comprar alimentos,0
2018-01-28,comprar alimentos,0
2018-02-04,comprar alimentos,0
2018-02-11,comprar alimentos,0
2018-02-18,comprar alimentos,0
2018-02-25,comprar alimentos,0
2018-03-04,comprar alimentos,0
2018-03-11,comprar alimentos,0
2018-03-18,comprar alimentos,0
2018-03-25,comprar alimentos,0
2018-04-01,comprar alimentos,0
2018-04-08,comprar alimentos,0
2018-04-15,comprar alimentos,0
2018-04-22,comprar alimentos,0
2018-04-29,comprar alimentos,0
2018-05-06,comprar alimentos,0
2018-05-13,comprar alimentos,0
2018-05-20,comprar alimentos,0
2018-05-27,comprar alimentos,0
2018-06-03,comprar alimentos,0
2018-06-10,comprar alimentos,0
2018-06-17,comprar alimentos,0
2018-06-24,comprar alimentos,0
2018-07-01,comprar alimentos,0
2018-07-08,comprar alimentos,0
